EVTNAME_DBI_9999; 皇室血脉MOD说明;;;;;;;;;;X
EVTDESC_DBI_9999; 欢迎使用皇室血脉MOD！;;;;;;;;;;X
EVTOPTA_DBI_9999;开始吧！;;;;;;;;;;X
EVTTOTIP_DBI_9999;您继承了家族血脉！  ;;;;;;;;;;X
EVTDESC_DBI_3;最近几天的晚上我总是经历着那种奇怪的梦，梦境中我如同无关者一般观望所发生的一切，我所理解的所不理解的，所知道的所不知道的。一切的一切都如同缥缈般虚幻，又如同现实般真实。即使醒来也清楚的记得刚才睡梦中所发生的一切，似乎这就是我自己的经历一般。这让我很不安，或许有人知道我的身上到底发生了什么。;;;;;;;;;;X
EVTOPTA_DBI_3;我要把这个梦告诉父亲、母亲！;;;;;;;;;;X
EVTDESC_DBI_4;今天,我的[GetFromRelation][From.GetTitledFirstName]告诉我他最近一直再做怪梦，我很清楚这是血脉觉醒的症状，因为我小时候就和他一样！我得安慰一下我的孩子，就像当年父母安慰我一样。;;;;;;;;;;X
EVTDESC_DBI_4_UNKOWN;今天,我的[GetFromRelation][From.GetTitledFirstName]告诉我他最近一直再做怪梦，我记得曾经在书房的书上看到过种情况。这是血脉觉醒时家族体质与要觉醒的血脉碰撞产生的。我想得安慰一下我的孩子。;;;;;;;;;;X
EVTDESC_DBI_4_NOINHERIT;今天,我的[GetFromRelation][From.GetTitledFirstName]告诉我他最近一直再做怪梦，我记得曾经在书房的书上看到过种情况。这个是要血脉的躁动，在与家族体质碰撞的征兆。但是[Root.Spouse.GetFatherMother]遗传给他的血脉太过微弱以至于无法觉醒。;;;;;;;;;;X
EVTOPTA_DBI_4;别害怕孩子，那是你血脉的悸动！告诉你关于血脉的事吧。;;;;;;;;;;X
EVTDESC_DBI_5;我的[GetFromFromRelation][From.From.GetTitledFirstName]正在觉醒家族血脉。再过大概十来天，等[From.From.GetTitledFirstName]体内的家族血脉大体稳定下来之后，就是举行血脉仪式来催发他[Root.Spouse.GetFatherMother]家族血脉，并使它和[From.From.GetTitledFirstName]的体质以及我们的家族血脉相适应的最佳时机。虽然可能性不高，但是依旧可能出现意外，让新的血脉与原有血脉或家族体质之间发生冲突的话，而这将导致[From.From.GetTitledFirstName]刚刚觉醒的血脉变得不纯洁，甚至影响到他的健康和未来发展。那么这个冒险到底值不值得呢？;;;;;;;;;;X
EVTDESC_DBI_5_DO_NOT_HAVE;在我的[GetFromFromRelation][From.From.GetTitledFirstName]体内，他的[Root.Spouse.GetFatherMother]家族的血脉已经纯纯欲动了。在过十来天，将要觉醒的血脉与[From.From.GetTitledFirstName]的体质初步融合之后，就是举行血脉仪式来催发他[Root.Spouse.GetFatherMother]家族血脉，并使它和[From.From.GetTitledFirstName]的体质以及我们的家族血脉相适应的最佳时机。虽然可能性不高，但是依旧可能出现意外，让新的血脉与原有血脉或家族体质之间发生冲突的话，也许会击溃[From.From.GetTitledFirstName]幼小的身体影响到他的健康和未来发展。那么这个冒险到底值不值得呢？;;;;;;;;;;X
EVTOPTA_DBI_5;筹备仪式！;;;;;;;;;;X
EVTOPTB_DBI_5;让我再想想...;;;;;;;;;;X
EVTDESC_DBI_6;今天是我的[GetFromFromFromRelation][From.From.From.GetTitledFirstName]举行血脉仪式的日子。我来到举行仪式的密室，仪式里要用的材料和工具再几天前就准备好了。小[From.From.From.GetTitledFirstName]过一会儿就会由我的管家带到密室里来。现在需要现场配制一桶用来催发他[Root.Spouse.GetFatherMother]家族血脉，促进它与小[From.From.From.GetTitledFirstName]体质或是已有血脉相适应的药汁了。;;;;;;;;;;X
EVTOPTA_DBI_6;不惜一切代价，配制一桶最好的药汁给我的小[From.From.From.GetTitledFirstName]！;;;;;;;;;;X
EVTOPTB_DBI_6;嗯...我觉得就用普通的配方就好了。;;;;;;;;;;X
EVTOPTC_DBI_6;唉...想想还是太冒险了，就这样终止吧！;;;;;;;;;;X
